cycle,depth,pure_proving_duration,children_count,parent_count,receipt_size_kb,seal_size_kb,compression_duration
131072,7,21647,3,1,886.83984375,886.76953125,0
131072,7,20662,1,1,454.671875,454.6015625,0
262144,6,42832,6,1,7401.150390625,7401.080078125,0
262144,5,44908,4,1,13699.376953125,13699.306640625,0
262144,4,45918,4,1,19542.935546875,19542.865234375,0
131072,3,27292,1,2,19781.51953125,19781.44921875,0
262144,2,48981,11,1,30719.697265625,30719.626953125,0
1048576,1,182983,31,1,79680.65234375,79680.58203125,0
131072,0,45410,1,0,79919.236328125,79919.166015625,0
