cycle,depth,pure_proving_duration,children_count,parent_count,receipt_size_kb,seal_size_kb,compression_duration
131072,3,26399,1,2,19781.51953125,19781.44921875,0
262144,2,50224,11,1,30719.697265625,30719.626953125,0
1048576,1,183169,31,1,79680.65234375,79680.58203125,0
131072,0,45544,1,0,79919.236328125,79919.166015625,0
