total_cycles,user_cycles,depth,verify_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,comp_name,cid
131072,47372,2,151,1,1,1,454.671875,454.6015625,flaml,QmVrLkwp2h5dwn4TC4SN8fACn5HqGq2tHwdvWTpPDscjCq
65536,27767,6,76,0,8,0,216.087890625,216.017578125,colorama,QmUPqZjS1Setu3kvGVKCkMva6UxS6Fd4J5pHQXk7F7G5Pn
131072,47167,5,156,1,6,1,454.671875,454.6015625,tqdm,QmTsHydXw2Ufq2USZbfCkGJzZHRjjvTctHhyRYTUvurvhW
262144,156795,2,1370,8,1,20,7435.087890625,7435.017578125,openai,QmNZPJsnruf9cr7apAyHzsQCkJ1EBkgo4iLCTpgcowPZm6
65536,27768,5,76,0,15,0,216.087890625,216.017578125,packaging,QmWTgfZyXJf9q7rrams2dKLiwbcJQrM91NcvzeanJsKmmn
65536,27786,3,79,0,5,0,216.087890625,216.017578125,python-dotenv,QmVvrsuReffmfJjzQpoLkrujh4qiUqtev5q1D7ZmbxhEEU
65536,27779,2,78,0,1,0,216.087890625,216.017578125,termcolor,QmeBu6YRcVX8nhep33Twoz8AYNCUvQQQRoGdCD1RpXH1Xx
65536,27779,3,75,0,2,0,216.087890625,216.017578125,regex,QmXbuvBLptHuHbTQfv9gutFm5fLLtMsxXG59iNYEZk54K2
131072,66523,2,526,2,1,6,1569.029296875,1568.958984375,tiktoken,QmXLoQNGGTrteWN5DRgSJgSv49rPTqU2vUya65ysDFuN1m
262144,182402,1,2295,10,1,34,14165.857421875,14165.787109375,autogen-agentchat,QmPv8pqgAPuMccjkrLjaoJgUr6uEc9FPq9mh5ZpUXU7696
131072,66928,3,466,2,9,6,1569.029296875,1568.958984375,azure-core,QmSASfWeVKARGgbMkJSTu2FEkEKaFEUnVqtFpWHVVakzf9
65536,27982,3,76,0,7,0,216.087890625,216.017578125,isodate,QmacS2iCPhvqcHSWDFHUr7EtVvqgocEECexHe625e6xvHs
131072,79750,1,647,3,1,8,2239.78125,2239.7109375,azure-ai-inference,QmciXMd7Qcs6C4UDPhBeGoB4WGXxCTBMHNAuWMXEmpXcF6
131072,79560,2,505,3,1,8,2239.78125,2239.7109375,azure-ai-agents,QmeiBixPvZXfNjHkr9R3EMkhBMMqM2PbRtP3vrfHciFdPb
262144,99088,2,967,4,1,11,3160.5546875,3160.484375,azure-storage-blob,QmdXfWLjuGA784YJsktEUtN1bwwqZE4623Vjg1WzWpBHLg
