cycle,depth,verify_duration,children_count,parent_count,receipt_size_kb,seal_size_kb,comp_name,cid
65536,2,76,0,1,216.087890625,216.017578125,kornia-rs,QmcMNDPGTezbqrXZWvbHRqn7pHYJ9Jq9yDwiVggUs3Lxdf
131072,1,227,2,1,670.755859375,670.685546875,kornia,QmVBswapUKyzTDJofJqeit9Mmy4QbwhUHMXTmYEwiHufSb
65536,2,75,0,2,216.087890625,216.017578125,audioread,QmU4wk4mpFEKdF2pSHWMsLf9QdwnagnqZQnAfuobaf8Hgi
65536,3,75,0,1,216.087890625,216.017578125,toolz,QmPi2WUH2FaqgMPxBhPohT1dACDKiaB1PsZTn4LugJupuh
131072,2,154,1,1,454.671875,454.6015625,cytoolz,QmQFUns64KbxciPHs6eGjD467JA7CacSGKayjvVAkmdJqb
65536,4,76,0,2,216.087890625,216.017578125,sortedcontainers,QmT8b7QrBQ742BT1Ap3Dwg1tv1eZiVENykhDTbWcxpV9rW
131072,2,154,1,1,454.671875,454.6015625,intervaltree,QmPm22ZWsjXfPvzVnDHw2xcSv3eXELS3jF3LwyTPfKJ4EF
65536,2,75,0,1,216.087890625,216.017578125,lilcom,QmTjMq4ztDGHB77KVLa8vVVU5Ur99X6WeDeKkXkt9hfSYv
65536,3,75,0,1,216.087890625,216.017578125,cffi,QmTdLrcvbLmLt9p5kQC6YdzRhhNLGUD6zwjn3ap12V9vdV
131072,2,153,1,4,454.671875,454.6015625,soundfile,QmNtkE6qsEKUaGNvRZuWhpjaCt3duLPBqk4XvSJPewZGrK
65536,3,75,0,3,216.087890625,216.017578125,tabulate,QmfMm6pymziBQwtu7RVVLRHKrxvprP9s3Ngj2Nr1JtzfTE
65536,5,75,0,11,216.087890625,216.017578125,tqdm,QmcGqywHMzb9sUN8E6k2fv99kMov4gTP1dCG9yRFDRch46
262144,1,955,10,1,3126.6171875,3126.546875,lhotse,QmfXFmm6jWKN8v3ZuA5QxSWPvyNeajXuv8V1rMSdZM79fx
131072,2,63,1,1,454.671875,454.6015625,lazy-loader,QmZ6SNmA4YC21MKKV2e6FbjFiAxxA92EXRqrafbKJ4FHXs
65536,2,32,0,1,216.087890625,216.017578125,msgpack,QmRioAVPmrDJN61bP2fn6o9Rf8ZQNc92BsJ3qRon9F9USz
65536,3,75,0,1,216.087890625,216.017578125,llvmlite,QmZEE6q8LqYdprbUgfnxXu1GkAxAaBxyZK1qp1pJymeMxT
131072,2,153,1,4,454.671875,454.6015625,numba,QmWux3AAS1GuTcmydR5ajQtgH6iAcTsPeE5rAVY57TsdZs
65536,6,76,0,1,216.087890625,216.017578125,charset-normalizer,QmcZZXCWFReHpxa2j41MUqvGD6LzT5LnqqsRqSHes5aAZo
65536,6,77,0,5,216.087890625,216.017578125,urllib3,QmP8VweT9LX19RVpPKRP3PBS6b4TfbZ7dcVnhAYjF2PptP
262144,5,381,4,8,1114.361328125,1114.291015625,requests,QmWjbsRiRinixVuLunqtfmGS2BnHrYJEgQ2mK77xtxAcnE
131072,2,256,3,1,1785.11328125,1785.04296875,pooch,QmVCtnTGxFyAVWr3fa3iqv8N1uSAZTBMpckAsrejYNzzZj
65536,2,76,0,3,216.087890625,216.017578125,soxr,QmYpAzV47BvunT158uqC4r9QSd12dw5dgqzGGv4m7Z2mem
262144,1,1054,10,1,4695.642578125,4695.572265625,librosa,QmXAyCepuUoTNtqjmGaEsJXm33qY7aFTyBDzcrJpop5orn
65536,1,31,0,1,216.087890625,216.017578125,markdown-it-py,QmWjVa3XPTJ5u2EqZ5pA2Sd19khRQu9ALgNT89Wuznw6Uv
65536,1,31,0,1,216.087890625,216.017578125,markdown-it-py,QmVpJ6Qr66E22VGAu1XGZfofn9U5bvZQrEbB52qFcvKeFT
65536,1,75,0,1,216.087890625,216.017578125,marshmallow,QmTQYEcShnHoxjUm8rYkUdvL3qLeptTp38VpHbmWWV2G54
65536,1,75,0,1,216.087890625,216.017578125,mdit-py-plugins,QmXPtwLQf2cn3AmD9utGeCuyzmJQvBmNLW36BuyU9DpYyz
65536,4,75,0,1,216.087890625,216.017578125,cycler,QmZyBFknQM7iPVG9UuXjb2BH6kravLapVgJ44wGHm6oiwM
65536,4,75,0,1,216.087890625,216.017578125,fonttools,QmT1EHjSJwvABiLseFXUEPv6CCi6SG87CFcgLWF4aYTRpA
65536,4,75,0,1,216.087890625,216.017578125,kiwisolver,QmYryBDmrdcRudBbHYej2iovt6HBNzMexAkxz3wcyAgvEW
65536,4,75,0,3,216.087890625,216.017578125,pillow,QmT1THb7HvDEUg76Nrmy2o3ZrqBJrWBua2NXdE5XLR58ND
65536,4,75,0,1,216.087890625,216.017578125,pyparsing,QmTJ5oA1VXSpekNuxQrNtwzBRfnLtQGqswrjQHHpDVHk8H
262144,3,685,7,3,2001.197265625,2001.126953125,matplotlib,QmbtNLugfyNTyh26PwKZ2GAQEdXtfYE11wKhvckPBiPiKQ
131072,1,829,2,1,2455.865234375,2455.794921875,mediapy,QmYPVjLgczooy1LUza9nLR3RbFZZR4bqt2r3EMDpSgkKNS
131072,7,141,1,1,454.671875,454.6015625,aiosignal,QmW1XWEdDr1F4JnHVQPNYdVm6EDHxGwe6A35bQwzXSXYz1
65536,8,76,0,2,216.087890625,216.017578125,multidict,QmRe24bbMCsE3awQU69hifSeoajGP2id7iSVXsJag9EjpA
262144,6,524,7,1,2910.533203125,2910.462890625,aiohttp,QmP6nxM6pXeJbhbxLXAofNLFSdbsHreQJxACudVpLFGmQY
131072,5,923,1,5,3149.1171875,3149.046875,fsspec,QmZdcGf6yJfAL7x72nt92yNiwUikA3j1yBUNmJc9vrkALR
131072,6,68,1,3,454.671875,454.6015625,anyio,QmPXsGBwzTxxDrvpqVmUFmbbzuZKnFD7NuVtzDWoEKpmZp
262144,5,478,4,2,1807.61328125,1807.54296875,httpx,Qma158zk9T3cqh7GWZfXFk1WZNYhEsjPZ5P1ivXgpHFgTj
65536,7,75,0,4,216.087890625,216.017578125,pygments,QmXs7xyTBXzufb1gyTV5Roi4PXpGkQkmGSCvNsjwkrZdDg
131072,6,153,1,2,454.671875,454.6015625,rich,QmaT35jVA3ci7Nqa8Vnc5uWnJcTd5zHzPt3MDsdEpUs4d9
262144,5,456,4,3,1352.9453125,1352.875,typer,QmcYTtNjLZXrMNPUJ9TGE4yYGyJYMi4RwkA1kqSZ6zurTD
262144,4,1364,8,7,7640.109375,7640.0390625,huggingface-hub,Qma9Vyf3wYhrELXLuGc2N4FSTgQGPPihEFUPucN8SiKDF3
65536,2,75,0,3,216.087890625,216.017578125,opencv-python-headless,QmTZ44UAfawky36CHMmCvUnDpgZypVsD5o9kRu78ejuLjW
65536,2,75,0,2,216.087890625,216.017578125,sentencepiece,QmTdpujMyAVW6JnRGMrvR2nsYmN7cmtLAoSJXMCRQ16iz5
262144,1,1569,5,1,8993.05078125,8992.98046875,mistral-common,QmemEgcBwxXUjfUxmuwyCDN3hQrVz6s63AP1NoeX7DKEvz
262144,1,1518,5,1,8993.05078125,8992.98046875,mistral-common,QmRBW6SMuDAyApTExJjZwuSGQH1xaZvbCzxpHdHiWxY1Su
65536,1,31,0,1,216.087890625,216.017578125,myst-parser,QmVePb4KkjW5Wfm3qHXvFruMTtHZa8HQksKZLcTmHgUgwZ
65536,1,75,0,1,216.087890625,216.017578125,myst-parser,QmVu7qdKGqXBAk9gr8ef6YsTtJdpdQoiHgAh8qmc3BTq92
