cycle,depth,pure_proving_duration,children_count,receipt_size_kb,seal_size_kb,compression_duration
65536,4,10808,0,216.087890625,216.017578125,0
131072,4,20549,2,670.755859375,670.685546875,0
262144,3,40513,5,1785.11328125,1785.04296875,0
262144,2,40551,5,2899.470703125,2899.400390625,0
131072,1,22168,2,3354.138671875,3354.068359375,0
262144,3,42351,12,5321.39453125,5321.32421875,0
131072,2,23122,3,5992.146484375,5992.076171875,0
131072,1,23848,2,6446.814453125,6446.744140625,0
524288,0,105312,17,95370.908203125,95370.837890625,0
