total_cycles,user_cycles,depth,verify_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,comp_name,cid
131072,47167,1,79,1,1,1,218.056640625,217.986328125,jedi,QmW6HPigZbutkq7uXmGq7A7VDx5wYn22F52H7Zf6dX5PqY
65536,27972,1,77,0,1,0,216.087890625,216.017578125,jieba,QmW7uuXpQcvzb8Nw1XKifZRyDd3PV6RXT7EkQddbj6WZ8S
65536,27981,2,77,0,1,0,216.087890625,216.017578125,rapidfuzz,QmbhAF5UeeSHEzHnxhyBZzbJsqM2X6J51LV6KJXzVhKMzm
131072,66732,1,78,2,1,2,218.056640625,217.986328125,jiwer,Qmbaiapz6rBBQwLc796eMyZzBxwqZiXxFRATmamyZKX6nw
65536,27972,7,79,0,3,0,216.087890625,216.017578125,attrs,QmVG74iVDLE7FYQxbXCcX2YPndhrbUvM64qvH8S99WAmyR
65536,27992,4,84,0,2,0,216.087890625,216.017578125,rpds-py,QmPNHYaj2XeaY9ZBEtKUVVuckzhUkEfrk8LqedZr52JFJh
131072,66938,3,78,2,2,2,218.056640625,217.986328125,referencing,QmSHpMgiNN8Unb9C1BiCuxfxZp7yvHNRG45YuUQxPyRgtN
131072,47400,2,77,1,1,3,218.056640625,217.986328125,jsonschema-specifications,QmcfX6AZWaAzvaF4ouryrZaeznrfkgN8vCqzanZBszxwkH
262144,99062,1,78,4,1,4,218.056640625,217.986328125,jsonschema,Qmc3hmrDqfYbeF3qgXztye13M4LHpVg7tPn4bG8Pderyts
65536,27999,1,78,0,1,0,216.087890625,216.017578125,kaldi-python-io,QmXX1BT5H6uTPoutyznE9Li2iuQr3UJAG1cipyGrbxCVKz
65536,27981,1,77,0,1,0,216.087890625,216.017578125,kaldialign,QmNXZ8xRvRUCL3M9DbGKWoR2XM6bQQG5VjGtjFJnBAQkd9
65536,27981,2,77,0,1,0,216.087890625,216.017578125,kornia-rs,QmSHS85bPi2diC3Mujm3LwNjKevUAb3EvG4MXD8YNTf34d
131072,66909,1,77,2,1,2,218.056640625,217.986328125,kornia,QmaCkMo4pFMy1Cp22BzeQgB7TL8KP61kUagQAG7zDB124F
65536,27779,2,77,0,2,0,216.087890625,216.017578125,audioread,QmQ5WDSsYEMpRzSbQnRXXAT4cXCja45EFXcEFtkqXZe8sY
65536,27769,3,76,0,1,0,216.087890625,216.017578125,toolz,QmYruodpzuPR36aFTUfszHe8QP9yijF9FhJwfphi9z5ugf
131072,47572,2,77,1,1,1,218.056640625,217.986328125,cytoolz,QmY23d3oFkvLAY118cCyEgvDJgNYndpo6sNZerDcz6YJ9d
65536,27784,4,78,0,2,0,216.087890625,216.017578125,sortedcontainers,QmZ9oidJmCiGtidR5vSFAMLfgVsGTnxHfGrhZMRumfSo1p
131072,47399,2,78,1,1,1,218.056640625,217.986328125,intervaltree,QmYsoDTsvMvgsxPVhpHUFxW1KjJqhtTFSKdG1v8gDmsnne
65536,27972,2,77,0,1,0,216.087890625,216.017578125,lilcom,QmcfauhGA5qn4Aj3YueKKJzN19t52S8uZSJxNq2hGAfTxT
65536,27792,3,83,0,1,0,216.087890625,216.017578125,cffi,QmQHTxzfXGUYobikNdQWVbbQZ3tErTWhvmwM5BX6q4igY7
131072,47571,2,85,1,4,1,218.056640625,217.986328125,soundfile,QmbRme9Kc6o2C1GMQnKGSXARdHg4Kv317nhWijBkMqaA6j
65536,27586,3,79,0,3,0,216.087890625,216.017578125,tabulate,QmQkPhizy3EwHWaEzgFqMyN83EEhUzwU5rHKrUDeCnFFT9
65536,27577,5,80,0,11,0,216.087890625,216.017578125,tqdm,Qmc778m2w7g5uJaxvGghqjnsoAQaUaQwgKbW9XFweZ25rk
262144,182387,1,87,10,1,13,218.056640625,217.986328125,lhotse,QmQdXxrcTSy11oDuoNZjZWF9cUpuXtt6UJ5HVsS4RmMwaY
65536,27779,3,78,0,2,0,216.087890625,216.017578125,decorator,QmUdhSZsRbmGNvaRJhvesE9GsmvTuFkV1C14RXuUa3DueE
65536,27972,2,77,0,3,0,216.087890625,216.017578125,joblib,QmVpnkgBatJyT1SNBnRdXS7ytPXWPdUqZtTW1Z2AjbfRWm
131072,47368,2,77,1,1,1,218.056640625,217.986328125,lazy-loader,QmPq4TThXwfZT62QcDpr8nrbUP2rRWGcxqwk9RRejfigsv
65536,27982,2,77,0,1,0,216.087890625,216.017578125,msgpack,QmZ2yC24GeV2MsNN563GtGgkCewgRV7MYC5JgiYHL77ZsP
65536,27586,3,77,0,1,0,216.087890625,216.017578125,llvmlite,QmfPg14mWGvNvskfU7NRWyjJtqeDqJt9XxddTANzBMnRJY
131072,47562,2,77,1,4,1,218.056640625,217.986328125,numba,QmPwZ4gHmpysPPaycJvfJ59LJbfyhBe6iKH3n7TM4qQVW3
65536,27991,7,77,0,4,0,216.087890625,216.017578125,certifi,Qmbs6HSovGhfKnyEoqTfjkxrEtCzgZ77nzRTHY7hazswnG
65536,27590,8,71,0,4,0,216.087890625,216.017578125,idna,QmYxh8VTnAnicbzqRBV5cRJq9K8NgfYfZio4gPWgWEHGk5
65536,27811,6,71,0,5,0,216.087890625,216.017578125,urllib3,QmeGvuTX24eu6MmD2GeZV2uUoeWiaA5GrmHotJLx8hZ4jf
262144,98657,5,78,4,8,4,218.056640625,217.986328125,requests,QmQZkor527i8cpt43MX3ohQaduit1NEcBFFrKm6FpM2shz
131072,79541,2,77,3,1,7,218.056640625,217.986328125,pooch,QmVY8pNaFFGfLxzmD54EUWvBT7GS2E3bEgKi7cjaiyTkMk
65536,27792,2,77,0,3,0,216.087890625,216.017578125,soxr,QmX65WrawfeGubDhmEFK3Fbc35PU1sRCYWdDzX3JPThrxh
262144,182397,1,79,10,1,19,218.056640625,217.986328125,librosa,QmbreYvX1nGg1Jpt3MXs58wCii1bXnmst8T4bmzEsP5BvZ
65536,27989,1,76,0,1,0,216.087890625,216.017578125,markdown-it-py,Qmb7pMzfuKsdmKzwBUS6rJuhdxzpt2iDjbYKC3ZaAXnMW7
65536,27989,1,77,0,1,0,216.087890625,216.017578125,markdown-it-py,QmfPu9jjSgstX1Sj3VUvxxPFiuhBJZMDw1kfBqMN6q9fZG
65536,27991,1,78,0,1,0,216.087890625,216.017578125,marshmallow,QmQdkkXThcuNhTMDHkpESYLEXsmMeFqy7AFU5AEQw76zkD
65536,27981,2,79,0,1,0,216.087890625,216.017578125,traitlets,QmcwMSf84SghQnjGqZqWerKAknRzUTVMfvZEdK2yXktqSm
131072,47398,1,77,1,1,1,218.056640625,217.986328125,matplotlib-inline,QmavqgtpAU32Pb1aNGXPEHPe4DGRxVTUp3yUegD8Z8Am79
65536,27999,1,79,0,1,0,216.087890625,216.017578125,mdit-py-plugins,QmTJdtBeBsU6YBzdG163kh5YcLUEoWX7x9TdZcsXyiu7PJ
65536,27769,1,77,0,1,0,216.087890625,216.017578125,mdurl,QmfBfNcm5spAZJY1KmEuH8DEGZUW2J2ki8Lrnrwn5gWcsH
65536,27982,4,77,0,1,0,216.087890625,216.017578125,cycler,QmeJSMV73FYUw5aW5YVMW96SEvBTeHRYCFupPJ9rtYfzNF
65536,27981,4,77,0,1,0,216.087890625,216.017578125,fonttools,QmS73bbzMZT551Uh1jurbDfTaZ36z1PGm1MPcbK5e7xTen
65536,27981,4,77,0,1,0,216.087890625,216.017578125,kiwisolver,QmdQ6YyA1i6b43z8pR8FkdtfeVsEAjFpa6oT3zR1ZbstSF
65536,27982,4,79,0,3,0,216.087890625,216.017578125,pillow,QmQFXc16NAmFDr6QGUjq74P9JwPAGMKM3VkJjxLJ1QFqAj
65536,27779,4,80,0,1,0,216.087890625,216.017578125,pyparsing,Qmb3cCVNZQMiMqdC2uGvUiJpRJMTFM5DEkhMpb4qLoWf2Z
131072,47392,5,77,1,3,1,218.056640625,217.986328125,python-dateutil,QmWTrvDmG7RGgWqAaWKUmLpDhEcZs6emSXq8UyXyw8YMj1
262144,137466,3,77,7,3,8,218.056640625,217.986328125,matplotlib,QmPdSgg68YUoXqtWPPsygReeuEy29Pc1v8UV6pn86B2117
131072,66919,1,80,2,1,9,218.056640625,217.986328125,mediapy,QmaopuS2dwaY4PKT5q7ozL91ieLxDXoErCSdmsCXanwAm8
65536,27586,5,76,0,3,0,216.087890625,216.017578125,filelock,QmdJ5SavJwoiLMnJmBvRHcdPdctzSi4L1EVZ5Uo141n6Ub
65536,27784,7,77,0,1,0,216.087890625,216.017578125,aiohappyeyeballs,QmQdtYH73JsNwkcsTDJSg4gk11WDhvzx38axGZq6unxJS1
65536,27981,8,79,0,2,0,216.087890625,216.017578125,frozenlist,QmRJKrYEn8zyXt9AAcJhg8YaH6JvQHtg2917EbWqteafKr
