cycle,depth,pure_proving_duration,children_count,receipt_size_kb,seal_size_kb,compression_duration
131072,3,31987,1,37334.3203125,37334.25,0
262144,2,54322,11,48272.498046875,48272.427734375,0
1048576,1,191891,31,114786.25390625,114786.18359375,0
131072,0,55524,1,115024.837890625,115024.767578125,0
