cycle,depth,pure_proving_duration,children_count,receipt_size_kb,seal_size_kb,compression_duration
262144,8,42409,10,5161.373046875,5161.302734375,0
131072,7,22261,2,6070.708984375,6070.638671875,0
262144,6,43266,4,11914.267578125,11914.197265625,0
262144,5,47334,5,23828.53125,23828.4609375,0
262144,4,51070,5,37095.736328125,37095.666015625,0
131072,3,31885,1,37334.3203125,37334.25,0
262144,2,54003,10,44747.279296875,44747.208984375,0
524288,1,111370,29,105072.05859375,105071.98828125,0
131072,0,51964,1,105310.642578125,105310.572265625,0
