cycle,depth,pure_proving_duration,children_count,receipt_size_kb,seal_size_kb,compression_duration
131072,9,21926,2,2034.759765625,2034.689453125,0
262144,8,42827,10,5161.373046875,5161.302734375,0
131072,7,23381,2,6070.708984375,6070.638671875,0
262144,6,44510,4,11914.267578125,11914.197265625,0
262144,4,51634,5,37095.736328125,37095.666015625,0
131072,3,32925,1,37334.3203125,37334.25,0
262144,2,54479,10,44747.279296875,44747.208984375,0
524288,1,111305,29,105072.05859375,105071.98828125,0
131072,0,51707,1,105310.642578125,105310.572265625,0
