total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,27985,1,12,11235,0,3,0,216.087890625,216.017578125,0,11838,105,85,6137,443,function-bind,Qme8sbQZrPRtZz8EBD7TXJeUAYJa93WX1iMuw26hAWr6tb
131072,66953,1,11,0,2,3,2,218.056640625,217.986328125,107775,23006,14593,85,17627,2109,call-bind-apply-helpers,QmQKd9ScPC8e9wrwfjMxY4nGu3xrS1qgfcYsrkTdaxwEdE
131072,47343,1,9,0,1,1,1,218.056640625,217.986328125,75455,17203,7337,85,11914,1280,hasown,Qmatu1UvCBkzza96ooXiZsPq5Wm3tavzJXMnUYuEZSdaYu
262144,182390,1,8,0,10,3,11,218.056640625,217.986328125,347278,67529,72407,85,29053,3767,get-intrinsic,QmYMEFNLWERvMAnBHihmFJ6o8Xs2yJmMR8RpqPiB16w6bD
131072,66700,1,7,0,2,2,12,218.056640625,217.986328125,75099,22779,14567,85,17627,2109,call-bound,QmfSZ7UaKApzhuhjGeUcioJEBUU6W6ihmzszAjd7N6ZYvH
262144,98881,1,6,0,4,2,14,218.056640625,217.986328125,164058,33906,29079,85,23340,2938,side-channel-map,QmTziMFAbZeQeexvcN9Nor78kASRBhBNcRacbRcs5mxa9B
262144,111731,1,4,0,5,1,17,218.056640625,217.986328125,185627,39497,36322,85,23340,2938,side-channel,QmZs8ZcXadQ6DnAJavUyft5C1cqbKzkTxcKgTcwvowRDT6
131072,47372,1,3,0,1,2,18,218.056640625,217.986328125,57254,17219,7350,85,11914,1280,qs,QmWSWKNW4HPA5Vwu9Fjf6ozBdJWPZJAjfBZgemZ8BCytj2
262144,169691,1,2,0,9,1,39,218.056640625,217.986328125,252392,61943,65294,85,29053,3767,body-parser,QmcwV95E6hyecEJzBxcukP2e5iK4NQmkUcRcgX1TsmUzGL
524288,419627,1,1,0,28,1,64,218.056640625,217.986328125,840167,167688,202911,85,34766,4596,express,Qma5iUaf54nR5BRtBKcK5gwwxaq9V1hF825kVtumrMBAEf
131072,47328,1,0,0,1,0,65,218.056640625,217.986328125,56050,17188,7337,85,11914,1280,express,QmSKbsJPMYAE99zBXCbMq164g4f5ZDBPjMgdDpe4WAsi2G
