total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
262144,111748,1,5,0,5,1,15,218.056640625,217.986328125,183725,39514,36322,85,23340,2938,side-channel-weakmap,QmPZ6SnwGpcVJyaoR5AMKAeGn53BU2cUvqFNgXHMAwbpLg
262144,111731,1,4,0,5,1,17,218.056640625,217.986328125,181260,39497,36322,85,23340,2938,side-channel,QmTi4P72bRjZ1QzJmDjH6rWziHMqUdvS5LjKhUWWXxMr5h
131072,47372,1,3,0,1,2,18,218.056640625,217.986328125,55317,17219,7350,85,11914,1280,qs,QmV4H547FHa1NA3MeejYtheuxTrgbDBFBJhBoDf6xtNTPj
262144,169691,1,2,0,9,1,39,218.056640625,217.986328125,253936,61943,65294,85,29053,3767,body-parser,Qmb9HvEmpMPTc2U258tSZLyfN8GYBMyk5WcCMMfcGa8UBa
524288,419627,1,1,0,28,1,64,218.056640625,217.986328125,839632,167688,202911,85,34766,4596,express,QmeyGfq5miBryqNWjhP1WCrXTEG6h6L8kpZrqs865PiWoS
131072,47323,1,0,0,1,0,65,218.056640625,217.986328125,58270,17183,7337,85,11914,1280,express,Qmeh1HRDTGtwnMHoqDeGbFDLWDYkjfBuMF72Ych1Fr7qvM
