total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
131072,47372,1,3,0,1,2,18,218.056640625,217.986328125,53919,17219,7350,85,11914,1280,qs,QmS9P2bShqWRwCWV48mQLcScjp6bJTNa25MBgmmkcSySic
262144,169691,1,2,0,9,1,39,218.056640625,217.986328125,252031,61943,65294,85,29053,3767,body-parser,QmQkkXd6xuqJxZ7nwSx38bdSXTq6sr77bPky7VAoPHJGdy
524288,419627,1,1,0,28,1,64,218.056640625,217.986328125,832461,167688,202911,85,34766,4596,express,QmRS3CARwPjS8BP2L5BF3F9NqMbxRy8BU3NpUk7RVjHyNz
131072,47323,1,0,0,1,0,65,218.056640625,217.986328125,56019,17183,7337,85,11914,1280,express,QmbarX8ZciCxHL3L6xtif1XVCVdRtCPd4scFMUmMhA8ih7
