total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
131072,66700,1,7,0,2,2,12,218.056640625,217.986328125,74340,22779,14567,85,17627,2109,call-bound,Qme5ayBTW7p7g7Zyi3tddF4hnwppTDTgt2fY7wAmm2kPoR
262144,98881,1,6,0,4,2,14,218.056640625,217.986328125,164320,33906,29079,85,23340,2938,side-channel-map,QmTf7uVfSEtUft7Mbituq9WB2xDeBjW8Bq5tGwT3A8KgiR
262144,111748,1,5,0,5,1,15,218.056640625,217.986328125,182092,39514,36322,85,23340,2938,side-channel-weakmap,QmeJfDdmQqWq2LMLC3f5FkmRomrRFPnFw3MayVGLwojvBd
262144,111731,1,4,0,5,1,17,218.056640625,217.986328125,183074,39497,36322,85,23340,2938,side-channel,QmSVoQoXRKbHySqrZ1KK3U1bypC6FBWsqd7r9d75KB3bbY
131072,47372,1,3,0,1,2,18,218.056640625,217.986328125,57593,17219,7350,85,11914,1280,qs,QmTnabsQzodtmtVe4KJ4498kWdTAJwhvpfviJBu8bgk9tC
262144,169691,1,2,0,9,1,39,218.056640625,217.986328125,255580,61943,65294,85,29053,3767,body-parser,QmZXnH1EyYqwVGRABA2KnmhpCbndWJw6YmR8yxFjJ8mF3r
524288,419627,1,1,0,28,1,64,218.056640625,217.986328125,837906,167688,202911,85,34766,4596,express,QmToQ7LFXHJwBBT8iinesXQu8i7mTJZWQqgXJ2R4EXgrr1
131072,47323,1,0,0,1,0,65,218.056640625,217.986328125,55818,17183,7337,85,11914,1280,express,QmVT5WwQrZf361JpSnEQPWvzWt1xrGvewtuno2TTMq2U2h
