total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
131072,79555,1,10,0,3,1,4,218.056640625,217.986328125,127392,28365,21836,85,17627,2109,dunder-proto,QmS9zZPWpVReohkHsAJzei2YTE6Xtj6NonpokLchEDhT7x
131072,66881,1,9,0,2,1,6,218.056640625,217.986328125,75562,22960,14567,85,17627,2109,get-proto,QmNXc8KsSZ8S1EbAseLtEKFG4tNq7aMkoLcWY5RMXdB9zr
262144,182390,1,8,0,10,3,11,218.056640625,217.986328125,340829,67529,72407,85,29053,3767,get-intrinsic,QmT9humFSccGaF4PppEsvyYP43VAzoY2akqC6Bj5nx5ET1
131072,66700,1,7,0,2,2,12,218.056640625,217.986328125,73721,22779,14567,85,17627,2109,call-bound,QmVjWDpRR8CusCkzK2xJFjtknb6jyb4x6HBKJyYp6GeQFZ
262144,98881,1,6,0,4,2,14,218.056640625,217.986328125,164809,33906,29079,85,23340,2938,side-channel-map,QmWMxTraky1MxBx7haVWLMpdzixJjA7eASnYbpSksmPvoF
262144,111731,1,4,0,5,1,17,218.056640625,217.986328125,180722,39497,36322,85,23340,2938,side-channel,QmdzyDnYhKd4KydNSwrMGGjDchPJQSnX7hwT2fGX5LRYwa
131072,47372,1,3,0,1,2,18,218.056640625,217.986328125,55743,17219,7350,85,11914,1280,qs,QmURmbgxMVXHKHnVRsffKjN4ZJXkBh979JGMcmv39Q49a8
262144,169691,1,2,0,9,1,39,218.056640625,217.986328125,254016,61943,65294,85,29053,3767,body-parser,QmYCH7pW8eNXyLCrGmH3paiMfGGUHNoYpa3CNTwv8bEknM
524288,419627,1,1,0,28,1,64,218.056640625,217.986328125,837902,167688,202911,85,34766,4596,express,QmaAYUTrdVy4XsKAGBeH8wc6YLdbj24Ed7hCv3YrZ16vPk
131072,47328,1,0,0,1,0,65,218.056640625,217.986328125,56138,17188,7337,85,11914,1280,express,QmRHifk8saVwBDKPqnWCHRbQWUvxBYVaCRW4GWEhWXPpQU
