total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,27586,1,4,11651,0,4,0,216.087890625,216.017578125,0,11439,105,85,6137,443,pygments,QmSjnZE2zDbBaQxAN2FcZZkCca8eqc3LkJ9KFz1H1CtVVP
65536,27997,1,5,11353,0,1,0,216.087890625,216.017578125,0,11850,105,85,6137,443,charset-normalizer,QmSEVv8xUcFRHs2M4kAVkPYuXB12D3vgeaxH64LNpD9dvZ
65536,27982,1,5,11307,0,1,0,216.087890625,216.017578125,0,11835,105,85,6137,443,urllib3,QmWXihjm79PB6MmK4ohShrA2f7N5LgmL5RQTVaBeWLWcUh
262144,98657,1,4,0,4,2,4,218.056640625,217.986328125,198502,33734,29027,85,23340,2938,requests,QmSmKvuqWo9kp2j4yff2AF35FuDES7tTihWzqpujJoYYTM
65536,27999,1,4,11417,0,2,0,216.087890625,216.017578125,0,11852,105,85,6137,443,snowballstemmer,QmVD62G4LyYxfHPRrUxaDPYJWPKDoe2VEKrCq1rhD12RrE
65536,28016,1,4,11554,0,2,0,216.087890625,216.017578125,0,11869,105,85,6137,443,sphinxcontrib-applehelp,QmfLtTrUWBMZPQdbr2eFjgfB1vZBPMTrGb8emFppFauEN3
65536,27803,1,4,11030,0,2,0,216.087890625,216.017578125,0,11656,105,85,6137,443,sphinxcontrib-devhelp,Qmbh9FtCaNMyPhJb3RoLxbWqUYvDV31Q5jF65FBgcwp7gc
65536,28006,1,4,11030,0,2,0,216.087890625,216.017578125,0,11859,105,85,6137,443,sphinxcontrib-htmlhelp,QmVM9q1JKGdQXtyu6v1eLnbGBqZXWbPqBuZ2C2GjvbNX3a
65536,27826,1,4,11896,0,2,0,216.087890625,216.017578125,0,11679,105,85,6137,443,sphinxcontrib-jsmath,QmZUPi2ng8UxRsK1UM7P8A5nFCQcUYv7DL6H488SxuSwqW
65536,27826,1,4,10987,0,2,0,216.087890625,216.017578125,0,11679,105,85,6137,443,sphinxcontrib-qthelp,QmdtKR5TdtcWuakDYYAg2WZTnf7daRT86CK6vQoFhkjx96
65536,27820,1,4,11185,0,2,0,216.087890625,216.017578125,0,11673,105,85,6137,443,sphinxcontrib-serializinghtml,QmTRp9aEYyg1XBJRzYYAA6G2qFgmoRDuVNfrDUiosFSajs
524288,278523,1,3,0,17,6,22,218.056640625,217.986328125,657303,106478,123017,85,34766,4596,sphinx,Qmf5kSc6YCVmn4qGp88oFaDufnimk2biGqJHtYXuVLYPd6
65536,27989,1,5,11158,0,1,0,216.087890625,216.017578125,0,11842,105,85,6137,443,roman-numerals,QmYU5qRNMP2VDWbWSMC2YtGx4m8FarpyX4YG6qJZFkUnah
131072,47398,1,4,0,1,1,1,218.056640625,217.986328125,73701,17245,7350,85,11914,1280,roman-numerals-py,Qmex7M7ECENevCkmnoBCsY63LpS52iHU3Pj8s9ezzUnp3C
524288,278523,1,3,0,17,6,23,218.056640625,217.986328125,641949,106478,123017,85,34766,4596,sphinx,QmYFifjMQPRF6kY77rDYx8AmXVQgDMkA2BLTzHk2Dix2D8
131072,66763,1,2,0,2,1,26,218.056640625,217.986328125,73679,22842,14567,85,17627,2109,sphinx-notfound-page,QmTV4LQqpy87JzAPnhkhxsBLcjhqHyXkEZgddysiowVHn2
262144,98926,1,1,0,4,1,27,218.056640625,217.986328125,145942,33951,29079,85,23340,2938,pallets-sphinx-themes,QmZVLLPXuLtDedgEa7cv1AV3p3zPKSgrosMiaf9JCUWwku
65536,27792,1,3,11573,0,1,0,216.087890625,216.017578125,0,11645,105,85,6137,443,cfgv,QmVqMtx2oJGCrGBa7p7HNGrcr4gjKdFKVucA5Dc1phvAt1
65536,27586,1,3,11237,0,1,0,216.087890625,216.017578125,0,11439,105,85,6137,443,identify,QmaT8YZQu1MS2UeU19NixpciQ9EapiafpisyYX41sEuhoo
65536,27992,1,3,11406,0,2,0,216.087890625,216.017578125,0,11845,105,85,6137,443,nodeenv,QmaRs5VXNHjjZYh3CKjACkxYLz7H77Bxqu9PHwhWVZEMTM
65536,27972,1,3,11517,0,1,0,216.087890625,216.017578125,0,11825,105,85,6137,443,pyyaml,QmfWzhfYgxFAkjcnHhUQTrS9BpaihnAXxkriYudfKL4Cdg
65536,27982,1,5,11171,0,1,0,216.087890625,216.017578125,0,11835,105,85,6137,443,distlib,QmWhgiQ7miwZaFVL8374bhvfgxgeEpmWnPokWmbziBTiFf
65536,27586,1,6,10951,0,3,0,216.087890625,216.017578125,0,11439,105,85,6137,443,filelock,QmZn8aykBSeB9W4v7Ft1DMVFw67F6Mos4YfLzy4iuELL2t
65536,27809,1,6,11097,0,3,0,216.087890625,216.017578125,0,11662,105,85,6137,443,platformdirs,QmfDG7u885Mfh3LqpxHv5LZWxRTSFyb6iGbDukGxTE1NtQ
131072,66721,1,5,0,2,2,2,218.056640625,217.986328125,107568,22800,14567,85,17627,2109,python-discovery,QmYog1qRtfTedxQtQfF7DLRHwg6o5MaD2Gitj5BZPnswLT
