total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
131072,66742,1,2,21705,2,2,4,1580.091796875,1580.021484375,0,22795,14593,85,17627,2109,starlette,QmdCuqQPEDMiUZ4MXngeTQhFEAzXn87cpVXXEV8SP4LAEV
131072,79725,1,2,21773,3,2,4,1125.423828125,1125.353515625,0,28574,21797,85,17627,2109,uvicorn,QmfGigGwRmAxQDYneATc1McPtZKZrSjSs585CQ4jmE4rX2
262144,137267,1,1,45608,7,1,35,14464.025390625,14463.955078125,0,50638,50717,85,23340,2938,sphinx-autobuild,QmWM7c6ZxYYKMHDh8WXc5f3S81mPr9BZCtA3VDbrwNEShe
262144,137267,1,1,45565,7,1,35,14464.025390625,14463.955078125,0,50638,50717,85,23340,2938,sphinx-autobuild,QmTocK6gLizeurar5QbAzEJ6NQQPKBYzPFF2qGNFJbGypZ
262144,99062,1,1,44298,4,1,26,11065.265625,11065.1953125,0,34139,29027,85,23340,2938,sphinx-tabs,QmRRAbRv6u1BcjjrfqmxznFBJynM22R6EvVF84KMbRME3G
131072,66776,1,1,25086,2,1,26,10621.66015625,10621.58984375,0,22829,14593,85,17627,2109,sphinxcontrib-log-cabinet,Qmev9criaCNm1ydTAXqWCpT6RNjHjTR78FdDjm3xuvShVo
65536,27981,1,4,11024,0,1,0,216.087890625,216.017578125,0,11834,105,85,6137,443,cachetools,QmW73DboMuoW9x3h45aLS8HnMMgaSRPTd21kmjgfUdwMmR
131072,66926,1,4,21315,2,1,2,670.755859375,670.685546875,0,23005,14567,85,17627,2109,pyproject-api,QmUATMrqZMp8GofN3R8y8wp4wksYaYQDMMNeAMMqf4sS2L
65536,27982,1,4,10803,0,1,0,216.087890625,216.017578125,0,11835,105,85,6137,443,tomli-w,QmV4ZK3G5u5REZFiWse1eRg2GnbxouMrLjGWaGJvZN67iw
262144,207980,1,3,43040,12,1,13,5321.39453125,5321.32421875,0,78659,86867,85,29053,3767,tox,QmfMQQhQfVZY3aCwW6bQ4Wg4mZ2GgXsYMGt9uKM5bGqzbW
131072,79734,1,2,24099,3,1,14,5992.146484375,5992.076171875,0,28583,21797,85,17627,2109,tox-uv-bare,QmPsBu7Zu8r8zr4CuqrJrgTqUF4EazrnBjuWQ5cvAwjuLp
131072,66919,1,1,23101,2,1,16,6446.814453125,6446.744140625,0,22998,14567,85,17627,2109,tox-uv,QmW6C9131MmkD9mfzCucRXhU7Lnnn2De33YKEtgkDb7UvC
65536,28007,1,1,11178,0,1,0,216.087890625,216.017578125,0,11860,105,85,6137,443,types-contextvars,QmS43MPMN6r3HrMVEPzF3Hkm4tNG6UnLqPpUFFuPxLPA86
65536,27795,1,1,10813,0,1,0,216.087890625,216.017578125,0,11648,105,85,6137,443,types-dataclasses,QmUbwwuosUwBVduvNsqtQL6MWE4NhVbBEKnwJdRaakXNU5
524288,265698,1,0,108890,16,0,82,93813.3203125,93813.25,0,100675,115995,85,34766,4596,flask,QmRpYp7J1wNQ4rH7X5TBs4EaSKNxDZWy6bynFnBbJzLPTe
