total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,27779,1,2,11495,0,1,0,216.087890625,216.017578125,0,11632,105,85,6137,443,diskcache,QmTsStr6v3sZ4Fhyz45hbTgMkFmkdBmvGkiH9Ksj5wzNEo
65536,27768,1,3,11747,0,3,0,216.087890625,216.017578125,0,11621,105,85,6137,443,pywin32,QmY7WTaRVSSYFAoFE3dSE1D6RRTKqS4Sdv5wsqhu1d2Dbt
65536,27997,1,6,12015,0,1,0,216.087890625,216.017578125,0,11850,105,85,6137,443,charset-normalizer,QmdQNQ1E3e1kjACe9mPP3PmVDxdetL75EzvjC5AiiXU42a
65536,27982,1,6,11314,0,6,0,216.087890625,216.017578125,0,11835,105,85,6137,443,urllib3,QmU58HRvGh7rfoJ1JGowfU7qxJQSUHQyihg2ARk3b6p9yg
262144,98657,1,5,43020,4,17,4,1114.361328125,1114.291015625,0,33734,29027,85,23340,2938,requests,QmQhg9aQAYAcND9PS59ecYAZMcHWPhjLTwrtcxBEgM9Vaf
131072,79705,1,2,22796,3,1,6,1785.11328125,1785.04296875,0,28554,21797,85,17627,2109,docker,Qmd16yuvRjC9YqU3ZN1SuVATBzNfQjYyrwygGxGdboi6Ua
65536,27972,1,4,11554,0,19,0,216.087890625,216.017578125,0,11825,105,85,6137,443,numpy,QmPBkMKMy5GtPa7ZG85dG5LXQ47FnJ5yQj96rmo3xUhxMi
131072,47372,1,2,22492,1,1,1,454.671875,454.6015625,0,17219,7350,85,11914,1280,flaml,QmVrLkwp2h5dwn4TC4SN8fACn5HqGq2tHwdvWTpPDscjCq
65536,27767,1,6,11734,0,8,0,216.087890625,216.017578125,0,11620,105,85,6137,443,colorama,QmUPqZjS1Setu3kvGVKCkMva6UxS6Fd4J5pHQXk7F7G5Pn
131072,47167,1,5,22597,1,6,1,454.671875,454.6015625,0,17027,7337,85,11914,1280,tqdm,QmTsHydXw2Ufq2USZbfCkGJzZHRjjvTctHhyRYTUvurvhW
262144,156795,1,2,44640,8,1,20,7435.087890625,7435.017578125,0,56394,57947,85,29053,3767,openai,QmNZPJsnruf9cr7apAyHzsQCkJ1EBkgo4iLCTpgcowPZm6
65536,27768,1,5,11561,0,15,0,216.087890625,216.017578125,0,11621,105,85,6137,443,packaging,QmWTgfZyXJf9q7rrams2dKLiwbcJQrM91NcvzeanJsKmmn
65536,27786,1,3,11530,0,5,0,216.087890625,216.017578125,0,11639,105,85,6137,443,python-dotenv,QmVvrsuReffmfJjzQpoLkrujh4qiUqtev5q1D7ZmbxhEEU
65536,27779,1,2,11597,0,1,0,216.087890625,216.017578125,0,11632,105,85,6137,443,termcolor,QmeBu6YRcVX8nhep33Twoz8AYNCUvQQQRoGdCD1RpXH1Xx
65536,27779,1,3,11841,0,2,0,216.087890625,216.017578125,0,11632,105,85,6137,443,regex,QmXbuvBLptHuHbTQfv9gutFm5fLLtMsxXG59iNYEZk54K2
131072,66523,1,2,22195,2,1,6,1569.029296875,1568.958984375,0,22602,14567,85,17627,2109,tiktoken,QmXLoQNGGTrteWN5DRgSJgSv49rPTqU2vUya65ysDFuN1m
262144,182402,1,1,47616,10,1,34,14165.857421875,14165.787109375,0,67541,72407,85,29053,3767,autogen-agentchat,QmPv8pqgAPuMccjkrLjaoJgUr6uEc9FPq9mh5ZpUXU7696
