cycle,depth,pure_prove_duration,children_count,parent_count,receipt_size_kb,seal_size_kb,compression_duration,comp_name,cid
65536,1,11386,0,1,216.087890625,216.017578125,0,@esbuild/aix-ppc64,QmQi8Zd2qB1iF81EmuUynwJQFpfMqg8yLnMewdscM7JHHB
65536,1,10376,0,1,216.087890625,216.017578125,0,@esbuild/android-arm,QmXERPU8eAuyu7ck7MKacRUtJYffevickK7coTYbsGdBzc
65536,1,11461,0,1,216.087890625,216.017578125,0,@esbuild/android-arm64,QmUkj58ARNiGQ81DgiVs5MAmq7L1JGYQtUHfVAjA8BLFEN
65536,1,11167,0,1,216.087890625,216.017578125,0,@esbuild/android-x64,QmfVm9tY1PWJwSswusbniNRhsZrBVD2vNVWbfCCghGRCMN
65536,1,10688,0,1,216.087890625,216.017578125,0,@esbuild/darwin-arm64,QmdhoLbMnzc1hSdoG3bgGm7n7NuHZpvXwBctiPdjwkg5Li
65536,1,11490,0,1,216.087890625,216.017578125,0,@esbuild/darwin-x64,QmUp2zeKUDpryfH1uQd37CmXScx3z3YEv53oESFrpoqN2F
65536,1,11444,0,1,216.087890625,216.017578125,0,@esbuild/freebsd-arm64,QmVom1E7CqVdhSh77PxW4WXFHyJj125w7vJDjE82FghTbE
65536,1,11148,0,1,216.087890625,216.017578125,0,@esbuild/freebsd-x64,QmeMoVF2pR2kJ57W2mT3L821RdyTMATKG2EccRJqm9mM8g
65536,1,11000,0,1,216.087890625,216.017578125,0,@esbuild/linux-arm,QmZbNVuc7QLKvfP1RkdqiLYrsYixMjrdp3y55oQzErro2y
65536,1,10740,0,1,216.087890625,216.017578125,0,@esbuild/linux-arm64,QmebXgGB7pW6uUooFt9jrRLE3exDQ6mA4KvqMTL34vSrW7
65536,1,10961,0,1,216.087890625,216.017578125,0,@esbuild/linux-ia32,QmQ2kHr3mFCPzceuh61fJyNwBoRCvRyjjE97R9F7Vv5hXn
65536,1,11230,0,1,216.087890625,216.017578125,0,@esbuild/linux-loong64,QmQKcHguNw6coxVtaZWcGtG4Xvy47b1WwfX7MRziKMH1eY
65536,1,11838,0,1,216.087890625,216.017578125,0,@esbuild/linux-mips64el,QmUaT2JCpQ1NppLJCMdE9nRFZEqkLY6PH5bKfB1uZmWuKn
65536,1,11259,0,1,216.087890625,216.017578125,0,@esbuild/linux-ppc64,QmQEiamhCrnfjngx7czn26yGyAywe2bUfqLFWiSqCZDmbi
65536,1,11217,0,1,216.087890625,216.017578125,0,@esbuild/linux-riscv64,QmPixke4u6sMvYMoayauk1UYu3qjwtvv4PWnL7QWd4HKhs
65536,1,10682,0,1,216.087890625,216.017578125,0,@esbuild/linux-s390x,QmbRysVgAELsBGg4jnFwgQAqhjvEtVv9YWJEdXjhqsDTSs
65536,1,11012,0,1,216.087890625,216.017578125,0,@esbuild/linux-x64,QmQDR4eroKGn5VbVQqi6TQipGuRRzG6DPCFMnAdvP3JbWx
65536,1,10751,0,1,216.087890625,216.017578125,0,@esbuild/netbsd-arm64,QmXYVTBW7aGrT22daYDciXuqppRjpAyt8YijH5EhxK33Qn
65536,1,11280,0,1,216.087890625,216.017578125,0,@esbuild/netbsd-x64,QmQDQbrXqy4z7SWMS1RHoxLCXbVtUBki83ywQJxajBr7oC
65536,1,11129,0,1,216.087890625,216.017578125,0,@esbuild/openbsd-arm64,QmTVZKL1zy9gQGwMw3uThY4Q9V9wLqEYnvNknTbRf2obTi
65536,1,11290,0,1,216.087890625,216.017578125,0,@esbuild/openbsd-x64,QmTdKfKFsNpq1cRzhuMBHv8mFhcfqzLeFz8Ca7YTfESi2b
65536,1,11667,0,1,216.087890625,216.017578125,0,@esbuild/openharmony-arm64,QmXiRMsUJfuC3yaFxyrWpj91zhZMoq4JpXhUCEnM5byh4x
65536,1,11479,0,1,216.087890625,216.017578125,0,@esbuild/sunos-x64,QmcngnQdEgtJuDnuZVNyhk2N8TVB3mwGUwaU2eed7QioFo
65536,1,10951,0,1,216.087890625,216.017578125,0,@esbuild/win32-arm64,QmaYLqDBXns1nVbjD35A4to5adKb4noF3pYuLGihd8Gy7q
65536,1,10660,0,1,216.087890625,216.017578125,0,@esbuild/win32-ia32,QmTqAUJ6Nx29TQ655MBSE9rkvL4oKHaH4orXw7kRKZtfRf
65536,1,10818,0,1,216.087890625,216.017578125,0,@esbuild/win32-x64,QmSPeFV5wfcPrB4pcj4TrYrZY8kFigXNdZ7W4mvuVsy62h
65536,1,10669,0,1,216.087890625,216.017578125,0,@pkgjs/parseargs,QmbxBDaSypaC2nFooABUkyW7aY8yMnAAYve87NBudq1r8i
65536,16,11450,0,93,216.087890625,216.017578125,0,tslib,QmR5geGmN3qp6ymcdYRU3fzKTUA1CJjqR36X8siKbSywWc
131072,14,20260,1,69,454.671875,454.6015625,0,@smithy/types,QmWX8zvnAwBDsau3ztrqptQjGWziwQ1xEaqQ7AHsazvNii
131072,14,20694,1,69,454.671875,454.6015625,0,@smithy/types,QmemXaG38e2ue6o7426avZU5R8pFHYPyvdnEgtQ2n14t56
131072,13,22158,3,59,1364.0078125,1363.9375,0,@aws-sdk/types,QmUefgo7zmisMJ1xZ6D7Lkw4oXhUE5vT7FubomBJ1LRdTg
131072,15,21732,1,1,454.671875,454.6015625,0,@smithy/is-array-buffer,QmSNREhMydocWunpT3SFzSX8aG59vJG1FrrSpgj9cTh3C3
131072,14,21055,2,1,909.33984375,909.26953125,0,@smithy/util-buffer-from,QmPGGhP9zyoDHsKqENxSeqvD5Bs1JdmXEkmKS9QETNstp3
131072,13,21547,2,3,1364.0078125,1363.9375,0,@smithy/util-utf8,QmNPqCC3ozGnXBqYoSbCs3n2prFJEbnAj7abPDD94Wh9v3
131072,12,22375,3,6,3182.6796875,3182.609375,0,@aws-crypto/util,QmQfSmetjBDPfUU9DgbFdx5uQ7PtSv8KSfxdEqQgXx7bPX
131072,9,23016,3,29,5001.3515625,5001.28125,0,@aws-crypto/sha256-js,QmWEAmbRSqGFq98kLuhAWdobq9DQ2tbE5ViH8tnmPAXXag
131072,9,20948,1,2,454.671875,454.6015625,0,@aws-crypto/supports-web-crypto,QmSuNiCqn8GqntgWzTR1EJR8JDAbADUxyHegVbfwfoHqQr
131072,9,20541,1,2,454.671875,454.6015625,0,@aws-sdk/util-locate-window,QmYCn8wKSAQfpsXEpx1eB2etszcWJicJb9vUNWSkTWTiJT
262144,8,43982,7,28,12287.4765625,12287.40625,0,@aws-crypto/sha256-browser,QmVFyZM1TE4usUYGGtA476NiheVAJcmyitFHV8GoJemK5x
65536,11,11854,0,1,216.087890625,216.017578125,0,@nodable/entities,QmbyxYkC8wCayriLWZfaWD1qtGBcZGxvX37PZMmWsHTWT9
65536,12,11458,0,2,216.087890625,216.017578125,0,path-expression-matcher,QmZ7N29jPRJ6tP1saAw9aF2vAxLkdzY52n2kdSR7vws1Jb
65536,12,11149,0,1,216.087890625,216.017578125,0,xml-naming,QmVjhvxwLmnrAquUxsVt8k2c3rkX8qkGa56oCA46TG6Aws
131072,11,20786,2,1,670.755859375,670.685546875,0,fast-xml-builder,QmTRxsung9VPBNdqwjb6c23YMyUppWWRhTn3Zpm9q5aozM
65536,11,10967,0,1,216.087890625,216.017578125,0,strnum,QmQAxaYsD21mmiYPQFKuZxgHXBxwStE8rQ7f3yFBoZHEcv
262144,10,41233,4,1,1569.029296875,1568.958984375,0,fast-xml-parser,Qmabgv68C6umxRKcK6LCiEwJDGKBp7kSbz5cA9qXqRfL4G
262144,9,40561,4,1,2944.470703125,2944.400390625,0,@aws-sdk/xml-builder,QmeWAz39A3A4ZmefgQtvrsb5NFq16zvZQWcSRP9xaSUHva
65536,9,11092,0,1,216.087890625,216.017578125,0,@aws/lambda-invoke-store,QmQjgC71NWZbEPhk7fq4eMLucoPiYTS4qEuUwwFcahwZ6h
131072,11,21592,3,2,5001.3515625,5001.28125,0,@aws-crypto/crc32,QmNvzoQhwJsJ6DLkCL3PBqDgLrZQJsfyjWYamJNAEi62Gk
262144,10,42078,4,58,6376.79296875,6376.72265625,0,@smithy/core,QmR2xNMgXNy9v52D8rupi5YKu2Z56WKJxdMEyD9Z6EAy94
262144,9,42285,4,5,7752.234375,7752.1640625,0,@smithy/signature-v4,Qmeng1oJarAZxn6LG7GQBreCRFUq2BWbZj5Xg2tg6nVX5a
65536,9,11004,0,1,216.087890625,216.017578125,0,bowser,QmSXNgGNyJAb3KVkKsqJh9SG2Nd1mKSwrJgNbJyVwuhHdX
262144,8,46717,9,44,20245.103515625,20245.033203125,0,@aws-sdk/core,QmcZk8aHNDvEkWnEBGzK9NJRGRJTDKhpTVKEpjbLZevTx4
