cycle,depth,pure_proving_duration,children_count,receipt_size_kb,seal_size_kb,compression_duration
65536,5,11413,0,216.087890625,216.017578125,0
65536,5,10670,0,216.087890625,216.017578125,0
131072,5,21206,1,1364.0078125,1363.9375,0
65536,5,11304,0,216.087890625,216.017578125,0
262144,4,40873,10,3797.369140625,3797.298828125,0
262144,3,44940,12,218.056640625,217.986328125,2457963
131072,2,21529,2,674.39453125,674.32421875,0
131072,3,20721,1,454.671875,454.6015625,0
131072,2,21475,1,693.255859375,693.185546875,0
131072,2,21149,2,670.755859375,670.685546875,0
65536,6,10702,0,216.087890625,216.017578125,0
131072,5,21180,1,454.671875,454.6015625,0
131072,5,21861,1,454.671875,454.6015625,0
131072,4,21720,3,2057.259765625,2057.189453125,0
131072,4,21513,3,1818.67578125,1818.60546875,0
131072,4,21826,1,454.671875,454.6015625,0
262144,3,41874,7,7275.06640625,7274.99609375,0
131072,4,23608,2,9570.90625,9570.8359375,0
131072,4,21596,1,454.671875,454.6015625,0
262144,3,46802,7,21393.0234375,21392.953125,0
131072,4,21948,3,1818.67578125,1818.60546875,0
262144,3,44466,6,12526.435546875,12526.365234375,0
262144,3,46593,6,20938.35546875,20938.28515625,0
262144,3,44078,8,9935.94921875,9935.87890625,0
131072,3,20454,1,454.671875,454.6015625,0
524288,2,102191,13,77753.2265625,77753.15625,0
65536,3,10923,0,216.087890625,216.017578125,0
65536,3,10821,0,216.087890625,216.017578125,0
65536,3,11080,0,216.087890625,216.017578125,0
65536,4,10756,0,216.087890625,216.017578125,0
65536,5,10857,0,216.087890625,216.017578125,0
131072,4,21439,1,454.671875,454.6015625,0
65536,5,10929,0,216.087890625,216.017578125,0
131072,4,20533,1,454.671875,454.6015625,0
65536,5,10353,0,216.087890625,216.017578125,0
131072,4,20990,1,454.671875,454.6015625,0
65536,5,11106,0,216.087890625,216.017578125,0
131072,4,20827,1,454.671875,454.6015625,0
65536,5,10902,0,216.087890625,216.017578125,0
65536,5,10964,0,216.087890625,216.017578125,0
65536,5,11211,0,216.087890625,216.017578125,0
131072,4,21109,3,886.83984375,886.76953125,0
262144,3,41921,11,4490.62109375,4490.55078125,0
131072,4,20560,1,454.671875,454.6015625,0
262144,3,41666,11,4490.62109375,4490.55078125,0
262144,3,41208,10,4274.537109375,4274.466796875,0
131072,4,21752,2,670.755859375,670.685546875,0
131072,4,20938,1,693.255859375,693.185546875,0
